data,id_recurso,tipo_recurso,servico
2023-06-26,SMTR202307005758,Reprocessamento,610
2023-06-26,SMTR202307005758,Reprocessamento,611
2023-06-26,SMTR202307005758,Reprocessamento,613
2023-06-26,SMTR202307005758,Reprocessamento,614
2023-06-26,SMTR202307005758,Reprocessamento,636
2023-06-26,SMTR202307005758,Reprocessamento,691
2023-06-26,SMTR202307005758,Reprocessamento,692
2023-06-26,SMTR202307005758,Reprocessamento,693
2023-06-26,SMTR202307005758,Reprocessamento,702
2023-06-26,SMTR202307005758,Reprocessamento,711
2023-06-26,SMTR202307005758,Reprocessamento,731
2023-06-26,SMTR202307005758,Reprocessamento,741
2023-06-26,SMTR202307005758,Reprocessamento,743
2023-06-26,SMTR202307005758,Reprocessamento,745
2023-06-26,SMTR202307005758,Reprocessamento,746
2023-06-26,SMTR202307005758,Reprocessamento,752
2023-06-26,SMTR202307005758,Reprocessamento,756
2023-06-26,SMTR202307005758,Reprocessamento,766
2023-06-26,SMTR202307005758,Reprocessamento,790
2023-06-26,SMTR202307005758,Reprocessamento,794
2023-06-26,SMTR202307005758,Reprocessamento,801
2023-06-26,SMTR202307005758,Reprocessamento,803
2023-06-26,SMTR202307005758,Reprocessamento,812
2023-06-26,SMTR202307005758,Reprocessamento,817
2023-06-26,SMTR202307005758,Reprocessamento,829
2023-06-26,SMTR202307005758,Reprocessamento,831
2023-06-26,SMTR202307005758,Reprocessamento,844
2023-06-26,SMTR202307005758,Reprocessamento,859
2023-06-26,SMTR202307005758,Reprocessamento,861
2023-06-26,SMTR202307005758,Reprocessamento,862
2023-06-26,SMTR202307005758,Reprocessamento,863
2023-06-26,SMTR202307005758,Reprocessamento,870
2023-06-26,SMTR202307005758,Reprocessamento,875
2023-06-26,SMTR202307005758,Reprocessamento,878
2023-06-26,SMTR202307005758,Reprocessamento,880
2023-06-26,SMTR202307005758,Reprocessamento,881
2023-06-26,SMTR202307005758,Reprocessamento,899
2023-06-26,SMTR202307005758,Reprocessamento,900
2023-06-26,SMTR202307005758,Reprocessamento,926
2023-06-26,SMTR202307005758,Reprocessamento,932
2023-06-26,SMTR202307005758,Reprocessamento,936
2023-06-26,SMTR202307005758,Reprocessamento,953
2023-06-26,SMTR202307005758,Reprocessamento,954
2023-06-26,SMTR202307005758,Reprocessamento,987
2023-06-26,SMTR202307005758,Reprocessamento,990
2023-06-26,SMTR202307005758,Reprocessamento,SN474
2023-06-26,SMTR202307005758,Reprocessamento,SP343
2023-06-26,SMTR202307005758,Reprocessamento,SP601
2023-06-26,SMTR202307005758,Reprocessamento,SP692
2023-06-26,SMTR202307005758,Reprocessamento,SP752
