Dia,Hora,HBV,Chuva,DirVento,VelVento,Temperatura,Pressao,Umidade,datetime
01/01/2025,04:50:00,,0.0,-,0.0,24.6,1007.0,88,2025-01-01 04:50:00
01/01/2025,04:55:00,,0.0,-,0.0,24.6,1007.0,88,2025-01-01 04:55:00
01/01/2025,05:00:00,,0.0,-,0.0,24.4,1007.0,88,2025-01-01 05:00:00
01/01/2025,05:05:00,,0.0,-,0.0,24.3,1007.0,88,2025-01-01 05:05:00
01/01/2025,05:10:00,,0.0,-,0.0,24.5,1007.2,88,2025-01-01 05:10:00
01/01/2025,05:15:00,,0.0,-,0.0,24.4,1007.2,88,2025-01-01 05:15:00
01/01/2025,05:20:00,,0.0,-,0.0,24.5,1007.2,88,2025-01-01 05:20:00
01/01/2025,05:25:00,,0.0,-,0.0,24.5,1007.2,88,2025-01-01 05:25:00
01/01/2025,05:30:00,,0.0,-,0.0,24.6,1007.2,88,2025-01-01 05:30:00
01/01/2025,05:35:00,,0.0,-,0.0,24.5,1007.5,88,2025-01-01 05:35:00
01/01/2025,05:40:00,,0.0,-,0.0,24.6,1007.5,88,2025-01-01 05:40:00
01/01/2025,05:45:00,,0.0,-,0.0,24.5,1007.7,88,2025-01-01 05:45:00
01/01/2025,05:50:00,,0.0,-,0.0,24.7,1007.7,88,2025-01-01 05:50:00
01/01/2025,05:55:00,,0.0,-,0.0,24.8,1007.7,88,2025-01-01 05:55:00
01/01/2025,06:00:00,,0.0,187,5.6,24.8,1007.7,88,2025-01-01 06:00:00
01/01/2025,06:05:00,,0.0,186,5.3,24.8,1007.7,88,2025-01-01 06:05:00
01/01/2025,06:10:00,,0.0,227,4.9,24.7,1007.7,89,2025-01-01 06:10:00
01/01/2025,06:15:00,,0.0,163,2.5,24.7,1008.0,90,2025-01-01 06:15:00
01/01/2025,06:20:00,,0.0,205,3.9,24.9,1008.0,90,2025-01-01 06:20:00
01/01/2025,06:25:00,,0.0,-,0.0,24.8,1008.2,90,2025-01-01 06:25:00
01/01/2025,06:30:00,,0.0,-,0.0,24.9,1008.2,90,2025-01-01 06:30:00
01/01/2025,06:35:00,,0.0,-,0.0,25.1,1008.2,90,2025-01-01 06:35:00
01/01/2025,06:40:00,,0.0,-,0.0,25.2,1008.1,90,2025-01-01 06:40:00
01/01/2025,06:45:00,,0.0,-,0.0,25.2,1008.2,89,2025-01-01 06:45:00
