Dia,Hora,HBV,Chuva,DirVento,VelVento,Temperatura,Pressao,Umidade,datetime
01/01/2025,04:50:00,,0.0,220,1.8,22.8,1006.7,100,2025-01-01 04:50:00
01/01/2025,04:55:00,,0.0,221,4.2,22.6,1006.9,100,2025-01-01 04:55:00
01/01/2025,05:00:00,,0.0,221,2.1,22.8,1006.9,100,2025-01-01 05:00:00
01/01/2025,05:05:00,,0.0,222,3.5,22.7,1006.7,100,2025-01-01 05:05:00
01/01/2025,05:10:00,,0.0,246,2.5,22.9,1007.0,100,2025-01-01 05:10:00
01/01/2025,05:15:00,,0.0,241,3.2,22.8,1007.0,100,2025-01-01 05:15:00
01/01/2025,05:20:00,,0.0,243,2.5,22.8,1007.0,100,2025-01-01 05:20:00
01/01/2025,05:25:00,,0.0,242,3.9,22.6,1007.0,100,2025-01-01 05:25:00
01/01/2025,05:30:00,,0.0,-,0.0,22.7,1007.0,100,2025-01-01 05:30:00
01/01/2025,05:35:00,,0.0,241,1.1,22.8,1007.0,100,2025-01-01 05:35:00
01/01/2025,05:40:00,,0.0,242,1.1,22.6,1007.0,100,2025-01-01 05:40:00
01/01/2025,05:45:00,,0.0,241,2.8,22.5,1007.2,100,2025-01-01 05:45:00
01/01/2025,05:50:00,,0.0,241,2.8,22.9,1007.2,100,2025-01-01 05:50:00
01/01/2025,05:55:00,,0.0,241,1.4,22.9,1007.2,100,2025-01-01 05:55:00
01/01/2025,06:00:00,,0.0,241,1.1,22.8,1007.2,100,2025-01-01 06:00:00
01/01/2025,06:05:00,,0.0,241,0.7,22.8,1007.5,100,2025-01-01 06:05:00
01/01/2025,06:10:00,,0.0,241,1.1,22.9,1007.5,100,2025-01-01 06:10:00
01/01/2025,06:15:00,,0.0,241,2.8,23.2,1007.6,100,2025-01-01 06:15:00
01/01/2025,06:20:00,,0.0,242,2.8,23.3,1007.7,100,2025-01-01 06:20:00
01/01/2025,06:25:00,,0.0,243,1.4,23.4,1007.7,100,2025-01-01 06:25:00
01/01/2025,06:30:00,,0.0,248,2.8,23.7,1007.5,100,2025-01-01 06:30:00
01/01/2025,06:35:00,,0.0,254,1.1,23.8,1007.5,100,2025-01-01 06:35:00
01/01/2025,06:40:00,,0.0,263,2.8,23.7,1007.8,100,2025-01-01 06:40:00
01/01/2025,06:45:00,,0.0,281,1.4,23.8,1007.8,100,2025-01-01 06:45:00
01/01/2025,06:50:00,,0.0,314,3.2,24.1,1007.8,100,2025-01-01 06:50:00
01/01/2025,06:55:00,,0.0,-,0.0,24.5,1007.7,100,2025-01-01 06:55:00
01/01/2025,07:00:00,,0.0,329,1.1,24.6,1007.8,100,2025-01-01 07:00:00
01/01/2025,07:05:00,,0.0,357,1.8,24.9,1008.0,100,2025-01-01 07:05:00
01/01/2025,07:10:00,,0.0,-,0.0,25.3,1008.1,100,2025-01-01 07:10:00
01/01/2025,07:15:00,,0.0,357,0.7,26.0,1008.1,100,2025-01-01 07:15:00
01/01/2025,07:20:00,,0.0,-,0.0,26.3,1008.0,100,2025-01-01 07:20:00
01/01/2025,07:25:00,,0.0,344,1.4,26.6,1008.1,100,2025-01-01 07:25:00
01/01/2025,07:30:00,,0.0,344,3.5,26.1,1008.0,100,2025-01-01 07:30:00
01/01/2025,07:35:00,,0.0,343,2.8,26.1,1008.3,100,2025-01-01 07:35:00
01/01/2025,07:40:00,,0.0,343,3.9,26.1,1008.1,100,2025-01-01 07:40:00
01/01/2025,07:45:00,,0.0,343,3.9,25.8,1008.1,100,2025-01-01 07:45:00
01/01/2025,07:50:00,,0.0,340,4.2,26.1,1008.3,100,2025-01-01 07:50:00
01/01/2025,07:55:00,,0.0,340,4.6,25.8,1008.3,100,2025-01-01 07:55:00
01/01/2025,08:00:00,,0.0,341,6.7,26.0,1008.3,100,2025-01-01 08:00:00
01/01/2025,08:05:00,,0.0,339,6.0,26.0,1008.6,100,2025-01-01 08:05:00
01/01/2025,08:10:00,,0.0,339,3.9,25.8,1008.3,100,2025-01-01 08:10:00
01/01/2025,08:15:00,,0.0,339,4.6,26.0,1008.6,100,2025-01-01 08:15:00
01/01/2025,08:20:00,,0.0,338,5.6,26.4,1008.6,100,2025-01-01 08:20:00
01/01/2025,08:25:00,,0.0,337,5.3,26.5,1008.3,100,2025-01-01 08:25:00
01/01/2025,08:30:00,,0.0,338,6.7,27.1,1008.3,100,2025-01-01 08:30:00
01/01/2025,08:35:00,,0.0,337,4.6,26.9,1008.6,100,2025-01-01 08:35:00
01/01/2025,08:40:00,,0.0,338,5.6,26.8,1008.4,100,2025-01-01 08:40:00
01/01/2025,08:45:00,,0.0,338,7.4,26.6,1008.6,100,2025-01-01 08:45:00
01/01/2025,08:50:00,,0.0,339,6.4,27.0,1008.4,100,2025-01-01 08:50:00
01/01/2025,08:55:00,,0.0,335,4.9,26.7,1008.6,100,2025-01-01 08:55:00
01/01/2025,09:00:00,,0.0,329,7.1,27.1,1008.6,100,2025-01-01 09:00:00
01/01/2025,09:05:00,,0.0,317,10.6,27.1,1008.6,100,2025-01-01 09:05:00
01/01/2025,09:10:00,,0.0,303,12.0,26.8,1008.6,100,2025-01-01 09:10:00
01/01/2025,09:15:00,,0.0,303,10.6,26.8,1008.8,100,2025-01-01 09:15:00
01/01/2025,09:20:00,,0.0,305,12.3,26.6,1008.8,100,2025-01-01 09:20:00
01/01/2025,09:25:00,,0.0,302,7.4,26.9,1008.8,100,2025-01-01 09:25:00
01/01/2025,09:30:00,,0.0,297,12.3,27.0,1008.6,100,2025-01-01 09:30:00
01/01/2025,09:35:00,,0.0,299,9.2,27.3,1008.6,100,2025-01-01 09:35:00
01/01/2025,09:40:00,,0.0,293,9.2,27.1,1008.6,99,2025-01-01 09:40:00
01/01/2025,09:45:00,,0.0,292,9.2,27.5,1008.6,99,2025-01-01 09:45:00
01/01/2025,09:50:00,,0.0,291,8.1,27.3,1008.6,98,2025-01-01 09:50:00
01/01/2025,09:55:00,,0.0,288,9.5,27.1,1008.6,99,2025-01-01 09:55:00
01/01/2025,10:00:00,,0.0,289,10.9,26.8,1008.8,99,2025-01-01 10:00:00
01/01/2025,10:05:00,,0.0,288,9.2,27.1,1008.6,99,2025-01-01 10:05:00
01/01/2025,10:10:00,,0.0,286,12.7,27.2,1008.6,98,2025-01-01 10:10:00
01/01/2025,10:15:00,,0.0,285,10.9,27.2,1008.8,98,2025-01-01 10:15:00
01/01/2025,10:20:00,,0.0,285,8.8,26.9,1008.8,99,2025-01-01 10:20:00
01/01/2025,10:25:00,,0.0,286,10.2,27.0,1008.6,99,2025-01-01 10:25:00
01/01/2025,10:30:00,,0.0,285,6.4,26.9,1008.6,99,2025-01-01 10:30:00
01/01/2025,10:35:00,,0.0,284,9.2,27.4,1008.6,98,2025-01-01 10:35:00
01/01/2025,10:40:00,,0.0,281,14.5,27.4,1008.6,97,2025-01-01 10:40:00
01/01/2025,10:45:00,,0.0,285,10.6,27.1,1008.6,97,2025-01-01 10:45:00
01/01/2025,10:50:00,,0.0,280,14.8,27.0,1008.8,98,2025-01-01 10:50:00
01/01/2025,10:55:00,,0.0,279,12.0,27.5,1008.6,98,2025-01-01 10:55:00
01/01/2025,11:00:00,,0.0,279,15.5,27.4,1008.6,97,2025-01-01 11:00:00
01/01/2025,11:05:00,,0.0,283,15.9,27.2,1008.6,97,2025-01-01 11:05:00
01/01/2025,11:10:00,,0.0,280,9.5,27.2,1008.3,97,2025-01-01 11:10:00
01/01/2025,11:15:00,,0.0,278,9.2,27.5,1008.3,97,2025-01-01 11:15:00
01/01/2025,11:20:00,,0.0,277,14.1,27.8,1008.3,95,2025-01-01 11:20:00
01/01/2025,11:25:00,,0.0,276,14.1,27.2,1008.3,96,2025-01-01 11:25:00
01/01/2025,11:30:00,,0.0,278,6.0,27.1,1008.3,96,2025-01-01 11:30:00
01/01/2025,11:35:00,,0.0,279,7.4,28.1,1008.3,96,2025-01-01 11:35:00
01/01/2025,11:40:00,,0.0,274,12.0,27.7,1008.3,94,2025-01-01 11:40:00
01/01/2025,11:45:00,,0.0,277,9.5,27.5,1008.3,95,2025-01-01 11:45:00
01/01/2025,11:50:00,,0.0,274,8.5,27.4,1008.3,94,2025-01-01 11:50:00
01/01/2025,11:55:00,,0.0,277,10.9,27.4,1008.3,95,2025-01-01 11:55:00
01/01/2025,12:00:00,,0.0,273,15.9,27.4,1008.3,95,2025-01-01 12:00:00
01/01/2025,12:05:00,,0.0,273,12.0,27.2,1008.3,96,2025-01-01 12:05:00
01/01/2025,12:10:00,,0.0,275,13.4,27.4,1008.3,96,2025-01-01 12:10:00
01/01/2025,12:15:00,,0.0,279,15.9,27.6,1008.3,97,2025-01-01 12:15:00
01/01/2025,12:20:00,,0.0,277,12.0,28.1,1008.3,96,2025-01-01 12:20:00
01/01/2025,12:25:00,,0.0,274,15.9,28.0,1008.3,95,2025-01-01 12:25:00
01/01/2025,12:30:00,,0.0,272,18.0,27.7,1008.3,95,2025-01-01 12:30:00
01/01/2025,12:35:00,,0.0,276,13.8,27.7,1008.3,97,2025-01-01 12:35:00
01/01/2025,12:40:00,,0.0,274,9.2,27.9,1008.1,96,2025-01-01 12:40:00
01/01/2025,12:45:00,,0.0,274,13.1,28.1,1008.1,96,2025-01-01 12:45:00
01/01/2025,12:50:00,,0.0,273,14.1,27.9,1008.3,95,2025-01-01 12:50:00
01/01/2025,12:55:00,,0.0,275,11.3,28.0,1008.1,96,2025-01-01 12:55:00
01/01/2025,13:00:00,,0.0,276,8.1,28.3,1008.1,95,2025-01-01 13:00:00
01/01/2025,13:05:00,,0.0,274,7.1,28.4,1008.1,95,2025-01-01 13:05:00
01/01/2025,13:10:00,,0.0,274,10.9,28.4,1008.1,95,2025-01-01 13:10:00
01/01/2025,13:15:00,,0.0,275,13.1,28.2,1008.1,94,2025-01-01 13:15:00
01/01/2025,13:20:00,,0.0,271,14.1,27.8,1008.1,94,2025-01-01 13:20:00
01/01/2025,13:25:00,,0.0,272,9.5,27.4,1008.1,95,2025-01-01 13:25:00
01/01/2025,13:30:00,,0.0,274,10.2,27.4,1008.1,95,2025-01-01 13:30:00
