id_operadora,id_validador,data,estado_equipamento,primeiro_datetime_gps,ultimo_datetime_gps,qtde_min_entre_a_prim_e_ultima_transmissao,qtde_min_distintos_houve_transmissao,qtde_registros_gps,qtde_registros_gps_georreferenciados,percentual_registros_gps_georreferenciados,percentual_transmissao_a_cada_min
810017553,B35T020D00205377,2026-04-26,ABERTO,2026-04-26 00:00:34.743848,2026-04-26 00:04:34.312302,5,5,5,5,1.0,1.0
810009956,B35T020D00203959,2026-04-26,ABERTO,2026-04-26 00:00:31.270274,2026-04-26 00:04:31.257179,5,5,5,5,1.0,1.0
810018167,B5AT020D00600373,2026-04-26,ABERTO,2026-04-26 00:00:54.79158,2026-04-26 00:04:55.177838,5,5,5,5,1.0,1.0
810004137,B35T020D00201773,2026-04-26,ABERTO,2026-04-26 00:00:58.184272,2026-04-26 00:04:58.458169,5,5,5,5,1.0,1.0
810015414,B35T020D00201399,2026-04-26,ABERTO,2026-04-26 00:00:58.146649,2026-04-26 00:04:58.565202,5,5,5,5,1.0,1.0
810018705,B35T020D00208395,2026-04-26,ABERTO,2026-04-26 00:00:41.602014,2026-04-26 00:04:41.594283,5,5,5,5,1.0,1.0
463053380,B35T020D00200854,2026-04-26,ABERTO,2026-04-26 00:00:17.79753,2026-04-26 00:04:17.653303,5,4,4,4,1.0,0.8
464020941,B35T020D00207293,2026-04-26,ABERTO,2026-04-26 00:00:33.767121,2026-04-26 00:04:33.825315,5,5,5,5,1.0,1.0
810009035,B35T020D00209036,2026-04-26,ABERTO,2026-04-26 00:00:56.355651,2026-04-26 00:04:56.775661,5,5,5,5,1.0,1.0
810014396,B5AT020D00600250,2026-04-26,ABERTO,2026-04-26 00:00:34.751649,2026-04-26 00:04:34.788774,5,5,5,5,1.0,1.0
810002070,B35T020D00205248,2026-04-26,ABERTO,2026-04-26 00:00:40.722438,2026-04-26 00:04:40.732321,5,5,5,5,1.0,1.0
810017517,B35T020D00205434,2026-04-26,ABERTO,2026-04-26 00:00:48.84466,2026-04-26 00:04:49.019573,5,5,5,5,1.0,1.0
810015210,B35T020D00201398,2026-04-26,ABERTO,2026-04-26 00:00:19.85542,2026-04-26 00:04:19.816803,5,5,5,5,1.0,1.0
810000232,B35T020D00205827,2026-04-26,ABERTO,2026-04-26 00:00:55.39269,2026-04-26 00:04:55.588535,5,5,5,5,1.0,1.0
810014800,B35T020D00201986,2026-04-26,ABERTO,2026-04-26 00:00:01.852724,2026-04-26 00:04:01.842475,5,5,5,5,1.0,1.0
810000551,B35T020D00204537,2026-04-26,ABERTO,2026-04-26 00:00:21.8115,2026-04-26 00:04:21.809303,5,5,5,5,1.0,1.0
463356067,B35T020D00210195,2026-04-26,ABERTO,2026-04-26 00:00:46.983663,2026-04-26 00:04:47.414559,5,5,5,5,1.0,1.0
2740,B5AT020D00600361,2026-04-26,ABERTO,2026-04-26 00:00:00.720304,2026-04-26 00:04:00.697338,5,5,5,5,1.0,1.0
810001606,B35T020D00202443,2026-04-26,ABERTO,2026-04-26 00:00:59.412814,2026-04-26 00:04:59.764954,5,5,5,5,1.0,1.0
810014518,B35T020D00210435,2026-04-26,ABERTO,2026-04-26 00:00:56.818482,2026-04-26 00:04:57.199539,5,5,5,5,1.0,1.0
810017304,B35T020D00210235,2026-04-26,ABERTO,2026-04-26 00:00:22.53519,2026-04-26 00:04:22.47942,5,5,5,5,1.0,1.0
810001554,B35T020D00202322,2026-04-26,ABERTO,2026-04-26 00:00:46.924508,2026-04-26 00:04:46.508376,5,4,4,3,0.75,0.8
810018307,B35T020D00204418,2026-04-26,ABERTO,2026-04-26 00:00:28.408332,2026-04-26 00:04:28.053293,5,5,5,5,1.0,1.0
810018477,B35T020D00205887,2026-04-26,ABERTO,2026-04-26 00:00:39.705981,2026-04-26 00:04:39.356384,5,5,5,5,1.0,1.0
810013959,B35T020D00208674,2026-04-26,ABERTO,2026-04-26 00:00:14.204823,2026-04-26 00:04:13.88065,5,5,5,5,1.0,1.0
463266263,B35T020D00208365,2026-04-26,ABERTO,2026-04-26 00:00:53.535117,2026-04-26 00:04:53.755165,5,5,5,5,1.0,1.0
810003709,B35T020D00206031,2026-04-26,ABERTO,2026-04-26 00:00:06.638474,2026-04-26 00:04:06.790535,5,5,5,5,1.0,1.0
463192122,B35T020D00205965,2026-04-26,ABERTO,2026-04-26 00:00:36.522347,2026-04-26 00:04:35.985326,5,5,5,5,1.0,1.0
463192159,B35T020D00207972,2026-04-26,ABERTO,2026-04-26 00:00:01.662901,2026-04-26 00:04:01.446923,5,5,5,5,1.0,1.0
463394551,B35T020D00200875,2026-04-26,ABERTO,2026-04-26 00:00:53.962556,2026-04-26 00:04:54.183405,5,5,5,5,1.0,1.0
810001262,B35T020D00206521,2026-04-26,ABERTO,2026-04-26 00:00:25.908216,2026-04-26 00:04:25.854274,5,5,5,5,1.0,1.0
810004605,B35T020D00201175,2026-04-26,ABERTO,2026-04-26 00:00:33.142113,2026-04-26 00:04:32.966925,5,5,5,5,1.0,1.0
810009804,B35T020D00202096,2026-04-26,ABERTO,2026-04-26 00:00:41.511912,2026-04-26 00:04:41.462013,5,5,5,5,1.0,1.0
810019911,B35T020D00205988,2026-04-26,ABERTO,2026-04-26 00:00:28.764689,2026-04-26 00:04:28.361457,5,5,5,5,1.0,1.0
463053140,B35T020D00201737,2026-04-26,ABERTO,2026-04-26 00:00:22.619886,2026-04-26 00:04:22.284951,5,5,5,5,1.0,1.0
